2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
123,,B,F,3/4/2021,Violence,Button Girl,Mizzen Mast,ButtonGirl,"Marcial Galan, Agent II",KY,D,10.0,72,16-Apr,"75,000",Not Sold,,,,Galan Marcial
124,,B,F,4/7/2021,Goldencents,Cabbage Key,A.P. Indy,CabbageKey,"Coastal Equine LLC (Jesse Hoppel), Agent X",KY,A,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Coastal Equine LLC
125,,CH,F,2/16/2021,Midshipman,Cafe Belle,Medaglia d'Oro,CafeBelle,"Golden Rock Thoroughbreds, Agent XII",KY,D,10.0,26,16-Apr,Hans Maron / Saints or Sinners LLC,"200,000",,,,Golden Rock Thoroughbreds
126,,DB/BR,F,4/7/2021,Hard Spun,Cafetiere,Elusive Quality,Cafetiere,"Shooting Star Sales LLC, Agent I",KY,G,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Shooting Star Sales LLC
127,,B,C,1/8/2021,Girvin,Cajun Queen,Closing Argument,CajunQueen,"Coastal Equine LLC (Jesse Hoppel), Agent XIX",FL,A,10.3,124,16-Apr,Jack Damico,"30,000",,,,Coastal Equine LLC
128,,CH,C,4/3/2021,Catalina Cruiser,Cake Baby,Stormy Atlantic,CakeBaby,"Eddie Woods, Agent VIII",KY,11,out,,16-Apr,Withdrawn,Out,,out,3/28/2023,Woods Eddie
129,,B,F,4/24/2021,Sky Mesa,Calidez,Spring At Last,Calidez,"Randy Miles, Agent I",KY,18,10.0,10,16-Apr,"Joe Sharp, Agent","60,000",,,,Miles Randy
130,,B,F,2/4/2021,Street Sense,Cali Thirty Seven,Eskendereya,CaliThirtySeven,"de Meric Sales, Agent IV",KY,12,10.2,107,16-Apr,Magna Carta Bloodstock,"235,000",,,,de Meric Sales
131,,B,F,4/13/2021,Midshipman,Callipepla,Yes It's True,Callipepla,"Eddie Woods, Agent XXXIII",VA,11,21.4,57,16-Apr,C.H.P.R.,"30,000",,,,Woods Eddie
132,Kant Call It,CH,F,1/16/2021,Kantharos,Call It a Truce,Friend Or Foe,CallItaTruce,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY,9,10.1,99,16-Apr,"95,000",Not Sold,,,2/25/2023,Sequel Bloodstock
133,,B,F,4/4/2021,Khozan,Call Me Baba,Into Mischief,CallMeBaba,"Dark Star Thoroughbreds (Stori Atchison), Agent I",FL,19,10.2,125,16-Apr,Christina R. Jelm for Pegasus Training Center,"50,000",PS,,,Dark Star Thoroughbreds
134,,CH,F,4/19/2021,Union Rags,Callmethesqueeze,Awesome Again,Callmethesqueeze,"Halcyon Hammock Farm, Agent I",KY,2,10.1,68,16-Apr,Lea Farms LLC,"90,000",,,,Halcyon Hammock Farm
135,,B,C,5/16/2021,Into Mischief,Call Pat,Lawyer Ron,CallPat,"Gene Recio, Agent IV",KY,17,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Recio Gene
136,,DB/BR,F,3/8/2021,Yoshida (JPN),Camila Princess,Animal Kingdom,CamilaPrincess,Navas Equine,KY,13,10.3,109,16-Apr,C.H.P.R.,"17,000",,,,Navas Equine
137,,CH,C,4/5/2021,Flameaway,Canary Diamond,Alphabet Soup,CanaryDiamond,"Omar Ramirez Bloodstock, Agent III",KY,15,out,82,16-Apr,Withdrawn,Out,,out,4/18/2023,Ramirez Omar
138,,CH,F,2/3/2021,Palace Malice,Candle Maker,Tapit,CandleMaker,"Coastal Equine LLC (Jesse Hoppel), Agent VI",KY,A,10.2,104,16-Apr,C.H.P.R.,"9,000",,,,Coastal Equine LLC
139,,B,F,2/19/2021,Enticed,Candy Cat Can,Langfuhr,CandyCatCan,"Mayberry Farm, Agent V",KY,B,out,116,16-Apr,Withdrawn,Out,,out,4/25/2023,Mayberry Farm
140,Fito,B,C,3/22/2021,Speightster,Capitalism At Risk,Bull Market,CapitalismAtRisk,"Coastal Equine LLC (Jesse Hoppel), Agent XIX",FL,A,10.0,70,16-Apr,Ahmad Alabdullatif,"67,000",,,,Coastal Equine LLC
141,,B,F,3/18/2021,Mendelssohn,Caroline Victoria,Lonhro (AUS),CarolineVictoria,"Off the Hook LLC, Agent III",FL,13,9.3,50,16-Apr,CSLR Racing Partners LLC,"385,000",,,,Off the Hook LLC
142,,B,F,2/9/2021,Maximus Mischief,Casanova Kiddo,Langfuhr,CasanovaKiddo,"G. A. Thoroughbred Sales, Agent",KY,7,10.2,45,16-Apr,Seth Morris,"45,000",,,,G. A. Thoroughbred Sales
143,,B,C,4/18/2021,Runhappy,Cast in Silver,City Zip,CastinSilver,"Off the Hook LLC, Agent XIX",KY,13,out,,16-Apr,Withdrawn,Out,,out,4/15/2023,Off the Hook LLC
144,,DB/BR,C,5/22/2021,Take Charge Indy,Castlesinair,Street Sense,Castlesinair,"Hoppel's Horse & Cattle Co., Inc.",KY,9,out,120,16-Apr,Withdrawn,Out,,out,4/19/2023,"Hoppel's Horse & Cattle Co., Inc."
145,,DB/BR,F,5/4/2021,Upstart,Casual Cocktail,Magna Graduate,CasualCocktail,"Silvestre Chavez Thoroughbreds, Agent VIII",KY,17,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,Chavez Thoroughbreds Silvestre 
146,,DB/BR,C,6/6/2021,More Than Ready,Catch My Eye,Unbridled's Song,CatchMyEye,"All Dreams Equine, Agent",KY,20,10.1,64,16-Apr,Moderniza,"17,000",,,,All Dreams Equine
147,,CH,C,3/17/2021,Candy Ride (ARG),Catch the Magic,Animal Kingdom,CatchtheMagic,Caliente Thoroughbreds,KY,E,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,Caliente Thoroughbreds
148,,GR/RO,C,3/2/2021,The Factor,Catchy Tune,Bernstein,CatchyTune,"Grassroots Training & Sales LLC, Agent",KY,J,10.1,56,16-Apr,Mike Maker,"40,000",PS,,,Grassroots Training & Sales LLC
149,,B,C,5/5/2021,Curlin,Cathryn Sophia,Street Boss,CathrynSophia,"Eddie Woods, Agent LIV",KY,11,22.2,99,22-Apr,"125,000",Not Sold,,,,Woods Eddie
150,,CH,C,4/17/2021,Catalina Cruiser,Causey,Giant's Causeway,Causey,"Julie Davies LLC, Agent XX",KY,19,out,16,16-Apr,Withdrawn,Out,,out,4/25/2023,Davies Julie
151,,GR/RO,F,2/25/2021,Twirling Candy,Cauy's Humor,Distorted Humor,CauysHumor,"Grassroots Training & Sales LLC, Agent",KY,J,10.0,24,16-Apr,"110,000",Not Sold,,,,Grassroots Training & Sales LLC
152,,CH,C,4/2/2021,Nyquist,Caxambas Pass,Tiznow,CaxambasPass,"Eddie Woods, Agent LV",KY,11,22.1,106,16-Apr,Chetram Bhigroog,"47,000",,,,Woods Eddie
153,Mr Miedo,B,C,3/4/2021,Frank Conversation,Cayman Dream,Oxbow,CaymanDream,"CM Thoroughbreds, Agent IV",IN,E,11.1,132,16-Apr,Sheldon Smith,"6,000",,,,CM Thoroughbreds
154,,B,C,3/25/2021,Audible,Celebrate Now,Street Cry (IRE),CelebrateNow,GOP Racing Stable Corp.,KY,16,10.3,78,16-Apr,Mary Lee Pinkerton,"50,000",,,,GOP Racing Stable Corp.
155,,CH,C,4/22/2021,Mendelssohn,Celtic Chant,Songandaprayer,CelticChant,"Eddie Woods, Agent XXII",KY,11,22.4,113,16-Apr,"22,000",Not Sold,,,,Woods Eddie
156,,DB/BR,F,2/13/2021,Uncle Mo,Cersei,Malibu Moon,Cersei,"Pick View LLC, Agent III",KY,G,21.1,93,16-Apr,Skara Glen Stables,"350,000",,,,Pick View LLC
157,What's Her Number,B,F,2/4/2021,Dialed In,Chalonitka,Empire Maker,Chalonitka,Navas Equine,KY,13,10.0,48,16-Apr,Clark O. Brewster,"65,000",,,,Navas Equine
158,Tap the Champagne,GR/RO,F,3/26/2021,Tapit,Champagne Royale,French Deputy,ChampagneRoyale,"Eddie Woods, Agent XLVII",KY,11,out,3,16-Apr,Withdrawn,Out,,out,4/24/2023,Woods Eddie
159,,CH,F,4/27/2021,Catholic Boy,Champagne Taste,Distorted Humor,ChampagneTaste,"Harris Training Center LLC, Agent IV",KY,13,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Harris Training Center LLC
160,Rosso,CH,C,3/22/2021,Vino Rosso,Chaparella,Service Stripe,Chaparella,"Six K's Training & Sales LLC, Agent VIII",KY,7,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Six K's Training & Sales LLC
161,,CH,F,4/7/2021,Star Guitar,Charged Cotton,Dehere,ChargedCotton,"Richardson Bloodstock, Agent",LA,6,10.1,114,16-Apr,Oliver St. Lawrence Bloodstock,"200,000",,,,Richardson Bloodstock
162,Charity First,CH,F,2/15/2021,Catholic Boy,Charitable Link,Data Link,CharitableLink,"Silvestre Chavez Thoroughbreds, Agent XVIII",NY,17,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,Chavez Thoroughbreds Silvestre 
163,Cool Tricks,B,F,3/14/2021,Practical Joke,Charlie B,War Chant,CharlieB,"Envision Equine, Agent",FL,5,10.2,61,16-Apr,Rohan Crichton,"30,000",,,,Envision Equine
164,,DB/BR,F,2/19/2021,Mendelssohn,Charming Becky,Dixie Union,CharmingBecky,"Top Line Sales LLC, Agent XXII",FL,14,10.0,85,16-Apr,Larry Allen,"12,000",,,,Top Line Sales
165,,CH,F,3/17/2021,Justify,Chauncey,Jimmy Creed,Chauncey,"de Meric Sales, Agent VI",KY,12,out,23,16-Apr,Withdrawn,Out,,out,4/16/2023,de Meric Sales
166,,B,F,4/18/2021,Constitution,Cherokee Jewel,Cherokee Run,CherokeeJewel,"S B M Training and Sales, Agent II",KY,3,out,80,16-Apr,Withdrawn,Out,,out,4/20/2023,S B M Training and Sales
167,,B,F,4/9/2021,Preservationist,Chickasaw Gal,Indian Charlie,ChickasawGal,"Wavertree Stables, Inc. (Ciaran Dunne), Agent III",KY,5,21.1,49,16-Apr,"SAB Stables, Inc","160,000",PS,,,"Wavertree Stables, Inc."
168,,CH,F,4/7/2021,Good Magic,Chickatini,Bernardini,Chickatini,"Best A Luck Farm LLC, Agent IV",KY,3,out,133,16-Apr,Withdrawn,Out,,out,4/18/2023,Best A Luck Farm LLC
169,,CH,C,2/6/2021,Speightstown,Chiffon,Malibu Moon,Chiffon,"Cesar Loya Training & Sales, Agent II",KY,20,10.3,92,16-Apr,"85,000",Not Sold,,,,Loya Training & Sales Cesar 
170,,B,F,3/10/2021,Maximus Mischief,Chiquiem,Rock Hard Ten,Chiquiem,"Top Line Sales LLC, Agent XXIX",KY,14,10.1,27,16-Apr,"Peter Miller, Agent","75,000",,,,Top Line Sales
171,,B,F,4/13/2021,Vino Rosso,Choice Play,Vindication,ChoicePlay,Grassroots Training & Sales LLC,KY,J,10.0,1,16-Apr,Cumberland Stable,"100,000",,,,Grassroots Training & Sales LLC
172,,DB/BR,F,2/14/2021,Bee Jersey,Christmas Cove,More Than Ready,ChristmasCove,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,21.3,105,16-Apr,Ted Barlas,"50,000",,,,"Wavertree Stables, Inc."
173,,B,C,3/17/2021,Mitole,Church Social,Pulpit,ChurchSocial,"Crane Thoroughbred Services LLC, Agent",KY,19,10.0,29,16-Apr,Dom Fuda / Dom Racing,"80,000",PS,,,Crane Clovis
174,,B,C,3/3/2021,Collected,Cianchetta,Arch,Cianchetta,"On Point Training & Sales, Agent",KY,H,10.1,86,17-Apr,"Frank Alosa, Agent","35,000",,,,On Point Training & Sales
175,,GR/RO,F,4/4/2021,Mitole,Ciddy's Song,Unbridled's Song,CiddysSong,"Gene Recio, Agent III",KY,17,out,,17-Apr,Withdrawn,Out,,out,4/21/2023,Recio Gene
176,,B,F,4/15/2021,More Than Ready,Cinderella Time,Stephen Got Even,CinderellaTime,"Tom McCrocklin, Agent XVIII",NY,2,21.3,35,17-Apr,Town & Country Racing LLC,"380,000",,,,McCrocklin Tom
177,Julias Dream,CH,F,2/13/2021,Flameaway,Cinnamon Girl,Meadowlake,CinnamonGirl,Grassroots Training & Sales LLC,KY,J,9.4,5,17-Apr,"Talla Racing / Kim Lloyd, Agent","180,000",,,,Grassroots Training & Sales LLC
178,,CH,C,4/3/2021,Good Magic,City Siren,City Zip,CitySiren,"Eisaman Equine, Agent",KY,7,10.2,7,17-Apr,"C R K Stable, LLC","350,000",,,,Eisaman Equine
179,,B,C,4/14/2021,Distorted Humor,City Success,City Zip,CitySuccess,"GOP Racing Stable Corp., Agent IV",FL,16,out,,17-Apr,Withdrawn,Out,,out,4/14/2023,GOP Racing Stable Corp.
180,,GR/RO,F,2/3/2021,Good Magic,Classy Grey Lassy,Silver Train,ClassyGreyLassy,"Scanlon Training & Sales, Agent V",LA,1,10.1,29,17-Apr,"J. Stevens Bloodstock, Agent","130,000",,,,Scanlon Training Center
181,,DB/BR,F,1/20/2021,Jimmy Creed,Classy Lil Rebel,Tapizar,ClassyLilRebel,"White Lilac (Katie Miranda), Agent II",KY,17,10.2,111,17-Apr,C.H.P.R.,"25,000",,,,White Lilac (Katie Miranda)
182,,B,C,4/29/2021,Yoshida (JPN),Classy Music,Maclean's Music,ClassyMusic,"S B M Training and Sales, Agent III",KY,3,10.2,16,17-Apr,HRH Prince Saud Bin Salman Racing Stable,"45,000",,,,S B M Training and Sales
183,,B,C,2/11/2021,West Coast,Clear Pond,Dynaformer,ClearPond,"Ordonez Thoroughbreds, Agent I",NY,20,10.3,129,17-Apr,Clear Stars Stable & Mitre Box Stable,"50,000",,,,Ordonez Thoroughbreds
184,,DB/BR,C,3/22/2021,Kantharos,Clever Beauty,Indian Charlie,CleverBeauty,"Eddie Woods, Agent XIV",KY,11,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Woods Eddie
185,,DB/BR,C,4/12/2021,Speightstown,Closing Range,After Market,ClosingRange,"Mayberry Farm, Agent II",KY,B,out,120,17-Apr,Withdrawn,Out,,out,4/25/2023,Mayberry Farm
186,,B,F,3/18/2021,Violence,C'Mon Sister,Successful Appeal,CMonSister,Navas Equine,KY,13,out,,17-Apr,Withdrawn,Out,,out,4/3/2023,Navas Equine
187,,GR/RO,C,3/4/2021,Connect,Cocktail Party,Mizzen Mast,CocktailParty,"Omar Ramirez Bloodstock, Agent IV",KY,15,out,,17-Apr,Withdrawn,Out,,out,4/22/2023,Ramirez Omar
188,,DB/BR,C,2/28/2021,Nyquist,Co Cola,Candy Ride (ARG),CoCola,"de Meric Sales, Agent VII",KY,12,10.1,108,17-Apr,"Legion Bloodstock, Agent","100,000",PS,,,de Meric Sales
189,,CH,C,3/9/2021,Connect,Come Follow Me,Eskendereya,ComeFollowMe,"Mayberry Farm, Agent V",KY,B,out,,17-Apr,Withdrawn,Out,,out,4/16/2023,Mayberry Farm
190,,DB/BR,F,3/31/2021,Khozan,Competitivebalance,Into Mischief,Competitivebalance,Mayberry Farm,FL,B,10.1,47,17-Apr,"17,000",Not Sold,,,,Mayberry Farm
191,,CH,F,2/15/2021,Gun Runner,Complex Analysis,Distorted Humor,ComplexAnalysis,"de Meric Sales, Agent VIII",KY,12,10.2,18,17-Apr,"Bradley Thoroughbreds LLC, Agent","280,000",,,,de Meric Sales
192,,DB/BR,C,3/29/2021,Twirling Candy,Conquest Babayaga,Uncle Mo,ConquestBabayaga,"S G V Thoroughbreds LLC (Steven Venosa), Agent I",KY,1,9.4,102,17-Apr,Oliver St. Lawrence Bloodstock,"800,000",,,,S G V Thoroughbreds
193,,DB/BR,C,3/29/2021,Good Samaritan,Conquest Bad Uncle,Uncle Mo,ConquestBadUncle,"Eddie Woods, Agent LV",KY,11,10.0,17,17-Apr,"Klaravich Stable, Inc.","340,000",,,,Woods Eddie
194,,B,C,4/21/2021,Frosted,Conquest Sweetride,Candy Ride (ARG),ConquestSweetride,"Off the Hook LLC, Agent VIII",FL,13,10.0,51,17-Apr,Charles Dunn,"100,000",PS,,,Off the Hook LLC
195,,DB/BR,F,3/24/2021,Street Sense,Conscription,War Front,Conscription,"GOP Racing Stable Corp., Agent V",KY,16,10.1,22,17-Apr,"85,000",Not Sold,,,,GOP Racing Stable Corp.
196,,DB/BR,F,3/25/2021,World of Trouble,Consider This,Union Rags,ConsiderThis,"de Meric Sales, Agent XXVIII",KY,12,10.2,136,17-Apr,"32,000",Not Sold,,,,de Meric Sales
197,,B,F,4/29/2021,Sky Mesa,Consulting,Maclean's Music,Consulting,"Gene Recio, Agent I",KY,17,10.1,95,17-Apr,"20,000",Not Sold,,,,Recio Gene
198,,B,F,4/3/2021,Astern (AUS),Convertible,Forestry,Convertible,Mayberry Farm,PA,B,10.0,9,17-Apr,"James Begg, Agent","92,000",,,,Mayberry Farm
199,Toscano Rosso,CH,F,3/13/2021,Vino Rosso,Cool and Stormy,Stormy Atlantic,CoolandStormy,"Gayle Woods, Agent III",KY,7,out,124,17-Apr,Withdrawn,Out,,out,4/25/2023,Woods Gayle
200,,GR/RO,C,1/23/2021,Frosted,Cool Beans,Candy Ride (ARG),CoolBeans,"Lucan Bloodstock (Karl Keegan), Agent",KY,18,10.3,140,17-Apr,Christina R. Jelm for Pegasus Training Center,"50,000",PS,,,Lucan Bloodstock
201,,GR/RO,F,4/16/2021,The Factor,Cool Flame,Dixie Union,CoolFlame,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXIII",KY,5,10.1,40,17-Apr,"Peter Miller, Agent","22,000",,,,"Wavertree Stables, Inc."
202,,CH,C,2/14/2021,Mitole,Coqui,Fusaichi Pegasus,Coqui,"Britton Peak, Agent I",KY,9,out,,17-Apr,Withdrawn,Out,,out,4/10/2023,Britton Peak
203,,CH,C,2/7/2021,Good Magic,Coreopsis,Kitten's Joy,Coreopsis,"Coastal Equine LLC (Jesse Hoppel), Agent IX",KY,A,out,104,17-Apr,Withdrawn,Out,,out,4/25/2023,Coastal Equine LLC
204,,GR/RO,F,5/1/2021,Preservationist,Corner Three,Scat Daddy,CornerThree,"Off the Hook LLC, Agent V",NY,13,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Off the Hook LLC
205,,B,F,2/16/2021,Tapiture,County Club,City Zip,CountyClub,"Envision Equine, Agent",FL,5,10.0,60,17-Apr,Rohan Crichton,"77,000",,,,Envision Equine
206,I'm Your Man,GR/RO,C,1/31/2021,Vino Rosso,Coup de Coeur,Exchange Rate,CoupdeCoeur,"de Meric Sales, Agent XLIII",KY,12,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,de Meric Sales
207,,GR/RO,C,4/13/2021,Cupid,Courageous Call,Tale of the Cat,CourageousCall,"Parrish Farms, Agent",KY,9,22.0,76,17-Apr,Michael Cloonan,"25,000",PS,,,Parrish Farms
208,,GR/RO,C,3/27/2021,Cupid,Courageous Heart,Bodemeister,CourageousHeart,Fast Horses,KY,D,10.0,57,17-Apr,"57,000",Not Sold,,,,Fast Horses
209,,CH,F,4/23/2021,Tapiture,Courting Delilah,Flower Alley,CourtingDelilah,"Best A Luck Farm LLC, Agent I",KY,3,10.4,115,17-Apr,Miguel Rodriguez,"15,000",,,,Best A Luck Farm LLC
210,,B,C,2/28/2021,St Patrick's Day,Cowgirl Lass,The Big Beast,CowgirlLass,"Woodside Ranch, Agent I",FL,6,10.1,125,17-Apr,"55,000",Not Sold,,,,Woodside Ranch
211,,B,F,4/23/2021,Twirling Candy,Coy Cat,Hold That Tiger,CoyCat,"Halcyon Hammock Farm, Agent III",KY,2,10.1,61,17-Apr,"12,000",Not Sold,,,,Halcyon Hammock Farm
212,,DB/BR,F,5/11/2021,Good Samaritan,Crab Key,Candy Ride (ARG),CrabKey,"Pick View LLC, Agent XV",KY,G,out,,17-Apr,Withdrawn,Out,,out,4/13/2023,Pick View LLC
213,Shespun,DB/BR,F,2/1/2021,Mohaymen,Crayon,Hard Spun,Crayon,"S B M Training and Sales, Agent I",KY,3,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,S B M Training and Sales
214,,DB/BR,C,5/16/2021,Mitole,Crazy 'bout Elvis,Dixie Union,CrazyboutElvis,"Top Line Sales LLC, Agent VIII",KY,14,out,52,17-Apr,Withdrawn,Out,,out,4/25/2023,Top Line Sales
215,,DB/BR,F,3/17/2021,Bolt d'Oro,Creative Contessa,Creative Cause,CreativeContessa,"de Meric Sales, Agent XXX",KY,12,10.0,3,17-Apr,Lael Stable,"850,000",,,,de Meric Sales
216,,B,F,2/14/2021,Practical Joke,Crescent Moon,Seeking the Gold,CrescentMoon,"Top Line Sales LLC, Agent XXIV",KY,14,10.0,15,17-Apr,Big Red Farm,"260,000",,,,Top Line Sales
217,,CH,F,5/9/2021,Nyquist,Crespano,Mineshaft,Crespano,"Off the Hook LLC, Agent XX",KY,13,10.2,14,17-Apr,Michael Lerman,"40,000",PS,,,Off the Hook LLC
218,Signing,CH,F,5/11/2021,Constitution,Cross,Mighty,Cross,"Harris Training Center LLC, Agent III",KY,13,10.2,62,17-Apr,"Grey Price, Agent for the Meat Man","20,000",PS,,,Harris Training Center LLC
219,,B,F,4/30/2021,Flameaway,Cross Roads,Quality Road,CrossRoads,"Bobby Dodd, Agent VIII",KY,10,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Dodd Bobby
220,Saint George,CH,C,4/16/2021,St Patrick's Day,Crowninshield,Aldebaran,Crowninshield,"Journeyman Bloodstock Services, Inc.  (Brent & Crystal Fernung), Agent",FL,2,out,,17-Apr,Withdrawn,Out,,out,4/13/2023,Journeyman Bloodstock
221,,DB/BR,F,4/24/2021,Omaha Beach,Crown It,Tapit,CrownIt,"Randy Miles, Agent XIX",KY,18,10.1,72,17-Apr,Edge Racing,"185,000",,,,Miles Randy
222,,B,F,4/15/2021,Into Mischief,Cruelmore,Forestry,Cruelmore,"Davis Breaking and Training, Inc., Agent I",KY,17,out,53,17-Apr,Withdrawn,Out,,out,4/19/2023,"Davis Breaking and Training, Inc."
223,Monticello,B,F,2/1/2021,Nyquist,Crushed Velvet,Malibu Moon,CrushedVelvet,"Eisaman Equine, Agent",KY,7,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Eisaman Equine
224,,CH,C,3/22/2021,Arrogate,Cruzin On In,Stormy Atlantic,CruzinOnIn,"McKathan Bros. Sales, Agent",KY,6,out,87,17-Apr,Withdrawn,Out,,out,4/17/2023,McKathan Bros.
225,,DB/BR,F,4/7/2021,Mor Spirit,Cuckoo Kenia,Midnight Lute,CuckooKenia,"Grassroots Training & Sales LLC, Agent II",FL,J,10.1,42,17-Apr,"Peter Miller, Agent","145,000",,,,Grassroots Training & Sales LLC
226,,CH,F,3/14/2021,Mitole,Cuff Me,Officer,CuffMe,"Crossing Point South, Agent I",KY,7,out,,17-Apr,Withdrawn,Out,,out,3/31/2023,Crossing Point South
227,,DB/BR,C,3/28/2021,Klimt,Curlamorous,Curlin,Curlamorous,"Eddie Woods, Agent L",KY,11,10.0,44,17-Apr,Carolyn Wilson,"235,000",,,,Woods Eddie
228,,B,C,4/6/2021,Into Mischief,Curlina,Cuvee,Curlina,"de Meric Sales, Agent IX",KY,12,10.1,43,17-Apr,"Mike Ryan, Agent for Peter Redekop BC Ltd.","310,000",,,,de Meric Sales
229,,DB/BR,F,5/20/2021,Uncle Mo,Customer Base,Lemon Drop Kid,CustomerBase,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",KY,5,10.1,101,17-Apr,D. J. Stable LLC / Gary Barber,"675,000",,,,Hartley / DeRenzo Thoroughbreds LLC
230,,B,F,4/8/2021,Mo Town,Daddy's Pride,Scat Daddy,DaddysPride,"Six K's Training & Sales LLC, Agent V",FL,7,10.2,85,17-Apr,C.H.P.R.,"15,000",PS,,,Six K's Training & Sales LLC
231,Big City,B,C,3/19/2021,City of Light,Dalsaros,Unbridled's Song,Dalsaros,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",KY,5,10.1,25,17-Apr,"445,000",Not Sold,,,,Hartley / DeRenzo Thoroughbreds LLC
232,,DB/BR,C,4/6/2021,Army Mule,Dance for Daddy,Scat Daddy,DanceforDaddy,"Gene Recio, Agent VI",KY,17,out,48,17-Apr,Withdrawn,Out,,out,4/25/2023,Recio Gene
233,,B,F,2/21/2021,Classic Empire,Dance Queen,To Honor and Serve,DanceQueen,"Thorostock LLC, Agent",KY,H,10.0,133,17-Apr,Heiligbrodt / Jackpot / Whispering Oaks,"260,000",,,4/17/2023,Thorostock LLC
234,,B,C,3/31/2021,Nyquist,Dance Thewayyouare,Mineshaft,DanceThewayyouare,"Top Line Sales LLC, Agent I",ON,14,out,,17-Apr,Withdrawn,Out,,out,4/14/2023,Top Line Sales
235,,DB/BR,F,2/11/2021,Palace Malice,Dancing Alone,Kingmambo,DancingAlone,"Randy Bradshaw, Agent I",KY,10,out,121,17-Apr,Withdrawn,Out,,out,4/25/2023,Bradshaw Randy
236,,CH,F,4/30/2021,Vino Rosso,Dancing Anna,Cuvee,DancingAnna,"Omar Ramirez Bloodstock, Agent V",KY,15,10.1,68,17-Apr,"70,000",Not Sold,,,,Ramirez Omar
237,Red Head Italian,CH,F,5/28/2021,Bucchero,Dangerous Dawn,Forest Danger,DangerousDawn,"Hawk's Rest LLC, Agent I",NJ,17,10.1,130,17-Apr,Kenwood Racing LLC,"40,000",,,,Hawk's Rest LLC
238,,B,F,4/11/2021,Violence,Daring Diva (GB),Dansili (GB),DaringDivaGB,"Niall Brennan Stables, Agent V",IR,8,out,31,17-Apr,Withdrawn,Out,,out,4/25/2023,Brennan Niall
239,Slider,B,C,3/3/2021,Jimmy Creed,Days Like This,Congrats,DaysLikeThis,"Marcial Galan, Agent II",KY,D,9.4,67,17-Apr,"West Point Thoroughbreds, L.E.B., Agent","240,000",,,,Galan Marcial
240,,DB/BR,F,3/26/2021,Palace Malice,Dazzler,Vindication,Dazzler,"Thorostock LLC, Agent",KY,H,21.1,41,17-Apr,Eclipse Thoroughbred Partners,"190,000",,,,Thorostock LLC
241,,CH,C,4/17/2021,Vino Rosso,Deanaallen'skitten,Kitten's Joy,Deanaallenskitten,"McKathan Bros. Sales, Agent",KY,6,out,4,17-Apr,Withdrawn,Out,,out,4/25/2023,McKathan Bros.
242,,DB/BR,F,2/16/2021,Central Banker,Dear Willa,Here Comes Ben,DearWilla,"Randy Miles, Agent IX",NY,18,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Miles Randy
243,,GR/RO,C,4/30/2021,Mitole,Deb's Charm,Silver Charm,DebsCharm,Grassroots Training & Sales LLC,KY,J,10.1,79,17-Apr,Triton Thoroughbreds LLC,"75,000",,,,Grassroots Training & Sales LLC
244,Velvet Vixen,B,F,3/7/2021,Maximus Mischief,Deceive,Tiznow,Deceive,"Top Line Sales LLC, Agent XXXVIII",KY,14,10.1,100,17-Apr,Charles L. Biggs,"45,000",,,,Top Line Sales
245,,DB/BR,C,2/26/2021,Kingman (GB),Deer Valley,Speightstown,DeerValley,"Ocala Stud, Agent",KY,4,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Ocala Stud
246,,DB/BR,C,4/9/2021,Justify,Defy Gravity,Bandini,DefyGravity,"Randy Miles, Agent XXIII",KY,18,10.2,122,17-Apr,"52,000",Not Sold,,,,Miles Randy
247,,B,C,4/10/2021,Maximus Mischief,Delicate Affair,Langfuhr,DelicateAffair,"L. G., Agent I",VA,G,10.0,73,17-Apr,Dennis O'Neill,"80,000",PS,,,"L. G., Agent"
248,,CH,F,2/4/2021,Tonalist,Dellarosa,Candy Ride (ARG),Dellarosa,"Bobby Dodd, Agent",KY,10,10.2,23,17-Apr,Dennis O'Neill,"80,000",,,,Dodd Bobby
